Rank,Name,Year
425,Hansel & Gretel: Witch Hunters,2013
426,6 Souls,2010
427,The Belko Experiment,2016
428,Splinter,2008
429,Solomon Kane,2009
430,Mirrors,2008
431,Bug,2006
432,Halloween,2007
433,Wrong Turn,2003
434,House of 1000 Corpses,2003
435,Vampires,1998
436,Deep Rising,1998
437,Critters,1986
438,Firestarter,1984
439,Cujo,1983
440,Friday the 13th Part 2,1981
441,Captive State,2019
442,Unfriended: Dark Web,2018
443,The Purge: Election Year,2016
444,The Boy,2016
445,The Taking of Deborah Logan,2014
446,Circle,2015
447,V/H/S/2,2013
448,Victor Frankenstein,2015
449,Saw VI,2009
450,The Rite,2011
451,The Midnight Meat Train,2008
452,The Amityville Horror,2005
453,Hide and Seek,2005
454,Mimic,1997
455,Friday the 13th Part VI: Jason Lives,1986
456,Friday the 13th: The Final Chapter,1984
457,The Last House on the Left,1972
458,Candyman,2021
459,Cam,2018
460,Annabelle Comes Home,2019
461,The Prodigy,2019
462,The Void,2016
463,Carrie,2013
464,The Tall Man,2012
465,Abraham Lincoln: Vampire Hunter,2012
466,The Mortal Instruments: City of Bones,2013
467,The Fourth Kind,2009
468,Quarantine,2008
469,The Ruins,2008
470,Saw IV,2007
471,P2,2007
472,The Haunting in Connecticut,2009
473,Hostel,2005
474,The X Files: I Want to Believe,2008
475,The Possession,2012
476,The Grudge,2004
477,The Brothers Grimm,2005
478,Dracula: Dead and Loving It,1995
479,Child's Play 2,1990
480,King Kong,1976
481,"Salò, or the 120 Days of Sodom",1975
482,Escape Room: Tournament of Champions,2021
483,Vivarium,2019
484,Underwater,2020
485,Eli,2019
486,High Life,2018
487,Morgan,2016
488,Underworld: Blood Wars,2016
489,Jigsaw,2017
490,The Purge,2013
491,V/H/S,2012
492,Paranormal Activity 3,2011
493,Final Destination 5,2011
494,The Addams Family,2019
495,Rubber,2010
496,The Divide,2011
497,Pride and Prejudice and Zombies,2016
498,Resident Evil: Afterlife,2010
499,Saw V,2008
500,The Babysitter: Killer Queen,2020
501,Old,2021
502,The Descent: Part 2,2009
503,Army of the Dead,2021
504,The Wolfman,2010
505,Black Sheep,2006
506,The Texas Chainsaw Massacre: The Beginning,2006
507,Final Destination 3,2006
508,Cry Wolf,2005
509,Blade: Trinity,2004
510,Gothika,2003
511,Hollow Man,2000
512,End of Days,1999
513,Halloween H20: 20 Years Later,1998
514,The Relic,1997
515,Thinner,1996
516,Species,1995
517,Halloween 4: The Return of Michael Myers,1988
518,Cannibal Holocaust,1980
519,Jaws 2,1978
520,Child's Play,2019
521,Velvet Buzzsaw,2019
522,Insidious: The Last Key,2018
523,Regression,2015
524,Honeymoon,2014
525,47 Meters Down,2017
526,I Spit on Your Grave 2,2013
527,Cooties,2014
528,Would You Rather,2012
529,The Bay,2012
530,Paranormal Activity 2,2010
531,The Last Exorcism,2010
532,Splice,2009
533,The Rental,2020
534,Pet Sematary,2019
535,Priest,2011
536,Hatchet,2006
537,Open Water,2003
538,Club Dread,2004
539,Freddy vs. Jason,2003
540,Lake Placid,1999
541,I Know What You Did Last Summer,1997
542,Buffy the Vampire Slayer,1992
543,A Nightmare on Elm Street 4: The Dream Master,1988
544,Poltergeist II: The Other Side,1986
545,Friday the 13th Part III,1982
546,I Spit on Your Grave,1978
547,Ma,2019
548,The Meg,2018
549,Curse of Chucky,2013
550,Maggie,2015
551,House at the End of the Street,2012
552,Saw: The Final Chapter,2010
553,The Ward,2010
554,Don't Be Afraid of the Dark,2010
555,Halloween Kills,2021
556,Diary of the Dead,2007
557,The Reaping,2007
558,Dark Water,2005
559,Creep,2004
560,Alien vs. Predator,2004
561,Cabin Fever,2002
562,Jeepers Creepers 2,2003
563,Cube²: Hypercube,2002
564,Thir13en Ghosts,2001
565,House on Haunted Hill,1999
566,Urban Legend,1998
567,Scream 3,2000
568,Village of the Damned,1995
569,The Texas Chainsaw Massacre 2,1986
570,Children of the Corn,1984
571,Peninsula,2020
572,The Dead Don't Die,2019
573,Unfriended,2014
574,Resident Evil: The Final Chapter,2016
575,The Cloverfield Paradox,2018
576,The Last Days on Mars,2013
577,Vampire Academy,2014
578,The Innkeepers,2011
579,Red Riding Hood,2011
580,Winchester,2018
581,Friday the 13th,2009
582,Hostel: Part II,2007
583,All the Boys Love Mandy Lane,2006
584,The Omen,2006
585,White Noise,2005
586,Ghost Ship,2002
587,Dreamcatcher,2003
588,Bride of Chucky,1998
589,Hellraiser III: Hell on Earth,1992
590,Maximum Overdrive,1986
591,A Nightmare on Elm Street 2: Freddy's Revenge,1985
592,Gretel & Hansel,2020
593,In the Tall Grass,2019
594,Annabelle,2014
595,The Mummy,2017
596,Resident Evil: Retribution,2012
597,My Bloody Valentine,2009
598,Countdown,2019
599,Teeth,2007
600,Piranha 3D,2010
601,Turistas,2006
602,The Messengers,2007
603,The Eye,2008
604,House of Wax,2005
605,The Ring Two,2005
606,Eight Legged Freaks,2002
607,The Lawnmower Man,1992
608,The Silence,2019
609,The Nun,2018
610,The Curse of La Llorona,2019
611,The New Mutants,2020
612,The Bad Batch,2016
613,Friend Request,2016
614,Tusk,2014
615,Sinister 2,2015
616,The Green Inferno,2013
617,The Resident,2011
618,Jennifer's Body,2009
619,Things Heard & Seen,2021
620,Legion,2010
621,Spiral,2021
622,The Witches,2020
623,The Covenant,2006
624,The Stepford Wives,2004
625,Queen of the Damned,2002
626,Friday the 13th Part VII: The New Blood,1988
627,Truth or Dare,2018
628,The First Purge,2018
629,The Lazarus Effect,2015
630,Hellboy,2019
631,Flatliners,2017
632,Apollo 18,2011
633,The Lords of Salem,2012
634,The Strangers: Prey at Night,2018
635,Sorority Row,2009
636,A Nightmare on Elm Street,2010
637,The Final Destination,2009
638,The Mummy: Tomb of the Dragon Emperor,2008
639,Shutter,2008
640,Doom,2005
641,The Cave,2005
642,Scooby-Doo 2: Monsters Unleashed,2004
643,Spawn,1997
644,The Hills Have Eyes 2,2007
645,When a Stranger Calls,2006
646,Stay Alive,2006
647,See No Evil,2006
648,The Grudge 2,2006
649,An American Haunting,2005
650,The Haunted Mansion,2003
651,Exorcist: The Beginning,2004
652,Child's Play 3,1991
653,A Nightmare on Elm Street 5: The Dream Child,1989
654,Halloween 5: The Revenge of Michael Myers,1989
655,Paranormal Activity: The Marked Ones,2014
656,A Haunted House,2013
657,Chernobyl Diaries,2012
658,[REC] 3: Genesis,2012
659,Blair Witch,2016
660,A Serbian Film,2010
661,The Happening,2008
662,Silent Hill: Revelation,2012
663,Darkness Falls,2003
664,Cursed,2005
665,The Haunting,1999
666,Virus,1999
667,Halloween III: Season of the Witch,1982
668,Vanishing on 7th Street,2010
669,The Darkest Hour,2011
670,Poltergeist,2015
671,Fantasy Island,2020
672,Valentine,2001
673,Ghosts of Mars,2001
674,Dracula 2000,2000
675,Freddy's Dead: The Final Nightmare,1991
676,Meet the Blacks,2016
677,The Forest,2016
678,The Woman in Black 2: Angel of Death,2014
679,Texas Chainsaw,2013
680,Halloween II,2009
681,The Unborn,2009
682,Pulse,2006
683,Seed of Chucky,2004
684,Godsend,2004
685,Anaconda,1997
686,Halloween: The Curse of Michael Myers,1995
687,Leprechaun,1993
688,Friday the 13th: A New Beginning,1985
689,Anacondas: The Hunt for the Blood Orchid,2004
690,I Still Know What You Did Last Summer,1998
691,Paranormal Activity: The Ghost Dimension,2015
692,Paranormal Activity 4,2012
693,Aliens vs. Predator: Requiem,2007
694,Black Christmas,2006
695,Psycho,1998
696,The Island of Dr. Moreau,1996
697,Friday the 13th Part VIII: Jason Takes Manhattan,1989
698,Ouija,2014
699,Rings,2017
700,The Human Centipede (First Sequence),2009
701,Death Note,2017
702,Cell,2016
703,Jason X,2001
704,Species II,1998
705,The Devil Inside,2012
706,Boogeyman,2005
707,Jason Goes to Hell: The Final Friday,1993
708,Shark Night,2011
709,One Missed Call,2008
710,Book of Shadows: Blair Witch 2,2000
711,Halloween: Resurrection,2002
712,Plan 9 from Outer Space,1957
713,Prom Night,2008
714,Human Centipede 2: Tom Six Discusses the Story Concept,2011
715,Piranha 3DD,2012
716,The Wicker Man,2006
717,The Fog,2005
718,Jaws 3-D,1983
719,I Know Who Killed Me,2007
720,Vampires Suck,2010
721,The Open House,2018
722,Slender Man,2018
723,Troll 2,1990
724,Jaws: The Revenge,1987
725,BloodRayne,2005
726,Laxmii,2020
727,Alone in the Dark,2005
728,House of the Dead,2003
729,Manos: The Hands of Fate,1966
