Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
Human Centipede 2: Tom Six Discusses the Story Concept,2011,females,3.6,354,138,253,350,430,550,633,579,626,1547,3.6,1.2,3.4,3.6,4.0,5460,4,1750,2822,615
Vampires Suck,2010,females,3.9,1470,618,561,768,1038,1378,1349,1446,1410,2208,3.9,4.3,4.0,3.8,4.0,12246,3,5425,5703,621
Jaws 3-D,1983,females,4.2,207,80,123,256,363,532,546,520,408,511,4.2,1.0,3.9,4.2,4.3,3546,2,514,1710,1142
I Know Who Killed Me,2007,females,3.8,604,3023,278,391,537,712,721,782,782,1885,3.8,1.0,3.9,3.7,3.6,9715,1,2488,6285,737
Plan 9 from Outer Space,1957,females,4.6,418,93,159,207,257,386,359,344,305,518,4.6,5.0,4.7,4.5,4.8,3046,1,404,1710,840
Prom Night,2008,females,4.5,904,228,474,698,943,1292,1320,1010,772,997,4.5,4.0,4.8,4.2,4.5,8638,3,2643,4882,753
One Missed Call,2008,females,4.4,443,131,319,503,740,965,1070,854,636,905,4.4,3.0,4.5,4.3,4.6,6566,1,1858,3791,709
Halloween: Resurrection,2002,females,4.5,329,99,169,335,449,663,737,476,348,421,4.5,7.5,4.4,4.4,4.9,4026,2,635,2468,690
Jason Goes to Hell: The Final Friday,1993,females,4.5,190,48,118,211,245,338,366,235,197,232,4.5,6.0,3.9,4.5,4.8,2180,1,308,1234,537
Jason X,2001,females,4.3,267,71,157,309,419,591,614,457,352,501,4.3,6.0,4.2,4.2,4.8,3738,2,511,2287,794
The Devil Inside,2012,females,4.3,504,184,387,553,799,1171,1129,890,793,1158,4.3,1.0,4.2,4.3,4.4,7568,1,1957,4260,892
Shark Night,2011,females,4.3,290,81,145,253,392,560,629,476,368,417,4.3,1.0,4.5,4.1,4.4,3611,1,983,2012,465
