Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
Insidious: The Last Key,2018,females,6.0,605,318,791,1594,2106,1504,703,332,186,190,6.0,5.9,5.9,5.9,6.2,8329,14,2760,3703,862
Child's Play,2019,females,5.7,220,137,490,925,1158,872,478,261,189,261,5.7,4.9,5.7,5.6,5.7,4991,8,1291,2593,601
Velvet Buzzsaw,2019,females,5.8,265,245,736,1661,2267,1593,786,401,211,251,5.8,4.5,5.7,5.8,5.9,8416,6,2557,4054,952
Jaws 2,1978,females,5.9,460,275,627,1292,1924,1458,701,346,183,175,5.9,4.8,5.7,5.8,6.1,7441,6,1074,3922,2095
Cannibal Holocaust,1980,females,5.4,424,286,493,730,739,567,350,225,202,685,5.4,3.2,5.4,5.5,5.2,4701,4,1032,2884,560
Species,1995,females,5.7,290,165,496,1114,1729,1394,705,392,192,215,5.7,7.0,5.7,5.7,5.9,6692,1,538,4005,1892
Halloween 4: The Return of Michael Myers,1988,females,6.1,580,193,456,743,1054,816,355,146,86,148,6.1,5.8,6.0,6.1,6.0,4577,6,820,2636,831
End of Days,1999,females,5.7,406,227,618,1218,1722,1542,775,440,245,338,5.7,2.0,5.9,5.7,5.7,7531,1,445,4701,2087
Halloween H20: 20 Years Later,1998,females,5.9,890,382,914,1455,1924,1612,736,370,230,253,5.9,6.8,6.1,5.8,6.3,8766,7,1053,5746,1528
Blade: Trinity,2004,females,6.3,1643,867,1980,3071,3541,2249,1009,483,292,384,6.3,4.3,6.4,6.2,6.5,15519,3,2394,9790,2566
Hollow Man,2000,females,5.7,408,281,901,2113,3137,2532,1180,668,408,417,5.7,5.2,5.9,5.6,5.7,12045,5,1407,7761,2365
Gothika,2003,females,6.1,1543,1198,2896,4765,5417,3576,1764,923,445,390,6.1,7.0,6.3,6.1,6.2,22917,1,3932,14996,3037
The Texas Chainsaw Massacre: The Beginning,2006,females,5.9,829,377,844,1433,1964,1481,645,362,250,361,5.9,5.0,6.0,5.9,5.8,8546,4,1890,5238,1082
The Relic,1997,females,5.8,229,72,195,345,454,376,194,113,72,85,5.8,6.0,5.6,5.7,5.9,2135,1,140,1120,775
The Descent: Part 2,2009,females,5.9,438,252,594,1119,1528,1121,565,276,187,163,5.9,5.7,5.8,5.8,6.1,6243,3,1433,3631,834
The Purge,2013,females,6.0,1917,1348,3385,6239,7589,5367,2716,1355,841,943,6.0,6.0,6.0,5.9,6.0,31700,25,10827,15021,2800
Final Destination 3,2006,females,6.0,2057,901,2021,3447,4744,3381,1534,756,429,477,6.0,5.3,6.2,5.8,6.2,19747,10,5857,11124,1792
The Wolfman,2010,females,5.7,810,535,1222,2326,3179,2473,1375,728,412,435,5.7,7.0,5.7,5.7,6.0,13495,1,2231,8704,2080
Old,2021,females,5.9,352,286,832,1562,1667,1082,581,378,295,389,5.9,5.3,5.8,5.9,6.1,7424,24,1799,3660,1159
V/H/S,2012,females,5.6,519,371,861,1346,1531,1154,700,527,400,624,5.6,5.5,5.6,5.6,5.4,8033,2,1969,4608,961
Paranormal Activity 3,2011,females,5.8,1420,831,1922,2782,3353,2453,1234,823,543,906,5.8,5.6,5.8,5.8,5.9,16267,6,5000,8957,1503
The Babysitter: Killer Queen,2020,females,6.0,224,142,352,716,903,509,273,153,95,94,6.0,5.2,5.9,6.0,6.2,3461,15,1125,1610,336
Jigsaw,2017,females,6.0,602,351,802,1494,1900,1224,663,320,186,195,6.0,5.1,6.1,5.9,6.2,7737,19,2752,3481,648
High Life,2018,females,5.7,162,160,361,693,677,520,299,205,195,227,5.7,5.0,6.2,5.6,5.3,3499,5,911,1693,587
Eli,2019,females,5.7,253,176,501,1013,1459,1085,505,330,181,241,5.7,4.1,5.5,5.7,6.0,5744,7,1565,2794,749
Vivarium,2019,females,5.9,258,230,658,1317,1457,972,497,273,228,434,5.9,6.6,5.9,5.9,5.8,6324,8,1632,3107,949
Underworld: Blood Wars,2016,females,6.2,1067,503,1040,1761,2062,1295,595,263,157,144,6.2,5.7,6.4,6.1,6.5,8887,5,2018,4682,1191
Escape Room: Tournament of Champions,2021,females,6.1,175,118,318,633,774,465,172,69,52,48,6.1,6.5,6.3,6.0,6.0,2824,23,883,1282,326
Morgan,2016,females,5.9,212,169,480,1040,1539,1049,471,234,100,114,5.9,10.0,5.8,5.8,6.1,5408,1,1135,2794,982
"Salò, or the 120 Days of Sodom",1975,females,5.8,676,435,767,1064,1065,717,399,290,230,636,5.8,6.4,5.8,5.9,5.4,6279,5,1759,3534,697
Child's Play 2,1990,females,5.9,623,239,496,869,1196,1157,505,244,164,169,5.9,6.4,6.0,5.9,5.4,5662,9,1291,3348,693
The Brothers Grimm,2005,females,6.2,1880,1271,2788,5019,5649,3497,1508,781,427,531,6.2,4.0,6.4,6.1,6.2,23351,2,4867,14513,3100
King Kong,1976,females,6.0,189,90,226,460,602,401,172,93,59,83,6.0,4.0,5.7,6.0,6.0,2375,1,249,979,1044
The Grudge,2004,females,5.9,2028,1166,2509,4285,5592,4110,2168,1237,775,1118,5.9,5.8,5.9,5.8,6.2,24988,5,5984,15070,2868
The X Files: I Want to Believe,2008,females,6.2,1625,650,1321,2095,2449,1654,743,422,263,319,6.2,6.0,6.3,6.1,6.4,11541,1,1098,7700,2347
The Possession,2012,females,6.1,982,683,1510,2448,3083,2125,944,441,247,248,6.1,10.0,6.0,6.0,6.4,12711,1,3219,6858,1733
Hostel,2005,females,5.7,1592,1035,2151,3408,4064,3077,1745,1162,878,1965,5.7,4.7,5.7,5.7,5.9,21077,8,4002,13671,2536
The Haunting in Connecticut,2009,females,6.3,1433,888,1870,2794,3088,1992,878,466,251,229,6.3,4.0,6.5,6.2,6.2,13889,1,3785,7822,1619
Saw IV,2007,females,6.1,2070,850,1711,2714,3653,2305,1133,619,344,662,6.1,5.8,6.3,6.0,6.0,16061,17,4495,9454,1287
Abraham Lincoln: Vampire Hunter,2012,females,6.0,2187,1390,3104,4555,4674,3245,1796,1037,709,786,6.0,7.0,6.3,5.9,6.2,23483,2,5347,13285,3258
The Tall Man,2012,females,6.1,602,445,982,1523,1639,1083,485,302,183,223,6.1,5.0,6.0,6.1,6.3,7467,1,1253,4520,1254
The Fourth Kind,2009,females,6.0,1167,737,1496,2171,2280,1634,936,557,362,436,6.0,10.0,6.1,6.0,5.7,11776,1,2678,7113,1486
The Mortal Instruments: City of Bones,2013,females,6.5,10143,4166,6485,8302,7542,4900,2685,1552,943,1173,6.5,6.1,6.7,6.3,6.6,47891,12,19676,19589,3531
Carrie,2013,females,5.9,2031,1578,3078,5394,6885,4867,2550,1298,761,933,5.9,6.0,6.0,5.8,5.9,29375,18,10822,13635,2473
Quarantine,2008,females,6.0,787,553,1248,2132,2283,1499,835,468,356,586,6.0,5.0,5.9,6.0,6.1,10747,5,2251,6601,1473
The Void,2016,females,5.4,135,113,299,486,634,547,344,209,171,187,5.4,4.0,5.5,5.5,5.2,3125,2,653,1708,489
Candyman,2021,females,6.2,316,242,579,882,852,528,248,150,117,221,6.2,5.3,6.3,6.2,6.1,4135,3,1045,2101,513
The Prodigy,2019,females,5.9,198,130,422,913,1242,752,317,142,74,114,5.9,7.0,6.0,5.9,6.0,4304,4,1091,2113,639
Annabelle Comes Home,2019,females,6.0,486,310,926,1732,2275,1373,638,352,172,182,6.0,5.7,6.0,6.0,6.2,8446,22,2729,3788,880
Friday the 13th Part VI: Jason Lives,1986,females,5.9,435,147,327,522,682,539,262,134,68,115,5.9,8.9,5.9,6.0,5.8,3231,20,516,1758,782
Cam,2018,females,5.9,144,122,466,1058,1304,830,412,205,142,191,5.9,4.1,5.9,5.9,5.7,4874,5,1833,2200,362
Underwater,2020,females,5.9,394,239,737,1557,1976,1360,615,365,196,216,5.9,6.6,5.9,5.8,5.8,7655,10,1673,3929,1243
Friday the 13th: The Final Chapter,1984,females,6.0,434,183,467,617,972,666,302,142,69,134,6.0,7.1,6.0,6.0,5.9,3986,17,658,2175,905
Hide and Seek,2005,females,6.3,1609,1128,2541,4027,4198,2596,988,499,287,238,6.3,6.0,6.7,6.3,6.1,18111,2,4088,11260,2093
The Amityville Horror,2005,females,6.2,1705,1016,2531,4332,5132,2956,1349,608,357,386,6.2,5.8,6.3,6.2,6.0,20372,9,4798,12277,2269
Captive State,2019,females,6.1,3458,3437,616,483,568,389,163,94,92,113,6.1,4.5,6.3,6.1,5.9,9413,5,3222,5376,599
The Midnight Meat Train,2008,females,5.8,536,363,916,1551,1709,1180,725,421,327,417,5.8,6.5,5.6,5.8,6.2,8145,4,1510,5080,1218
Unfriended: Dark Web,2018,females,6.0,211,180,523,917,942,617,322,156,100,141,6.0,5.6,6.1,6.0,5.9,4109,14,1428,1854,385
Halloween,2007,females,6.1,1791,943,1900,2410,2440,1461,812,574,448,1096,6.1,5.8,6.1,6.1,6.0,13875,17,2737,8352,2083
Friday the 13th Part 2,1981,females,6.2,620,308,622,1115,1435,904,362,145,114,134,6.2,7.4,6.0,6.2,6.3,5759,22,1075,3091,1254
House of 1000 Corpses,2003,females,6.2,1825,927,1472,1722,1624,1023,613,430,341,747,6.2,5.9,6.2,6.3,6.0,10724,5,1685,6936,1559
Bug,2006,females,5.8,325,294,644,765,776,496,353,235,215,520,5.8,6.0,5.6,5.7,6.1,4623,1,457,2816,1181
Wrong Turn,2003,females,6.1,1736,898,1846,3092,3841,2333,1162,648,444,490,6.1,6.7,6.1,6.0,6.4,16490,10,3682,10170,1841
Mirrors,2008,females,6.1,1323,910,2188,3850,4280,2570,1283,633,410,385,6.1,6.0,6.2,6.1,6.2,17832,5,4935,10291,1814
Splinter,2008,females,6.0,284,252,612,983,1219,690,383,207,137,128,6.0,6.5,5.9,6.0,6.5,4895,2,977,2880,850
The Belko Experiment,2016,females,6.2,268,236,736,1359,1536,824,340,171,95,149,6.2,7.0,6.2,6.2,6.3,5714,4,1666,2811,683
Solomon Kane,2009,females,6.0,520,317,707,1276,1456,963,525,273,165,194,6.0,7.0,6.2,5.9,6.4,6396,1,1085,3823,1228
6 Souls,2010,females,6.4,713,520,1251,2051,2087,1156,513,228,152,176,6.4,4.0,6.5,6.3,6.3,8847,1,1581,5408,1413
Hobo with a Shotgun,2011,females,6.1,300,176,340,462,432,257,144,111,104,166,6.1,7.0,6.1,6.1,6.0,2492,1,370,1618,413
Hansel & Gretel: Witch Hunters,2013,females,6.3,3951,2372,4933,7537,7641,4610,2402,1305,749,787,6.3,6.7,6.4,6.1,6.3,36287,10,10641,18381,3849
Grave Encounters,2011,females,6.2,921,641,1424,2035,2056,1242,694,372,285,359,6.2,7.7,6.3,6.1,6.2,10029,6,3073,5320,1037
The Collection,2012,females,6.3,843,475,1043,1532,1568,854,452,243,142,202,6.3,7.4,6.5,6.2,6.6,7354,6,1909,4044,863
Don't Breathe 2,2021,females,6.1,170,121,310,587,706,389,183,90,43,62,6.1,5.5,6.0,6.1,6.2,2661,6,764,1240,355
Insidious: Chapter 3,2015,females,6.2,1171,770,1870,3432,3881,2270,981,493,236,237,6.2,6.7,6.2,6.1,6.4,15341,16,5418,6957,1382
The Lodge,2019,females,6.1,220,244,803,1368,1347,822,399,209,157,242,6.1,6.4,6.3,6.1,5.9,5811,8,1357,3030,863
Blood Red Sky,2021,females,6.2,225,225,575,1026,1049,601,292,133,90,124,6.2,4.0,6.2,6.1,6.4,4340,12,933,2052,829
Brightburn,2019,females,6.0,357,311,984,1779,1946,1264,640,324,214,276,6.0,6.7,5.8,6.0,6.3,8095,3,1774,4150,1278
The Amityville Horror,1979,females,6.4,554,329,733,1335,1348,703,303,155,83,106,6.4,6.0,6.3,6.3,6.7,5649,3,797,3073,1504
Crawl,2019,females,6.1,411,287,864,1737,2062,1175,559,296,181,205,6.1,5.6,6.1,6.0,6.2,7777,10,2040,3750,1124
Wolf,1994,females,6.4,556,354,941,1711,1920,967,392,180,102,95,6.4,6.0,6.4,6.4,6.3,7218,1,563,4262,2110
Killer Klowns from Outer Space,1988,females,6.2,503,218,479,607,642,420,257,125,118,183,6.2,7.0,6.2,6.3,6.0,3552,1,575,2119,678
Alien: Resurrection,1997,females,6.5,1651,1101,2567,4362,4196,2114,974,486,319,504,6.5,5.5,6.3,6.5,6.5,18274,10,2394,10683,4241
Scream 2,1997,females,6.3,2122,1285,2706,4864,6040,3348,1360,628,415,520,6.3,6.7,6.5,6.1,6.4,23288,33,4678,14732,2663
Idle Hands,1999,females,6.3,833,352,821,1191,1281,762,373,219,158,211,6.3,8.0,6.6,6.3,6.3,6201,1,579,4577,804
Jeepers Creepers,2001,females,6.2,1680,972,2142,3181,3560,2288,1206,724,456,673,6.2,6.9,6.3,6.1,6.7,16882,11,3161,10420,2517
Final Destination 2,2003,females,6.3,1855,1031,2549,4798,5798,3158,1198,642,331,342,6.3,6.1,6.4,6.2,6.5,21702,24,5781,12697,2123
Resident Evil: Apocalypse,2004,females,6.7,2876,1409,2873,4404,4425,1990,844,423,208,343,6.7,5.5,6.8,6.6,6.7,19795,6,4128,12259,2408
The Texas Chainsaw Massacre,2003,females,6.2,1767,975,2223,3759,4042,2289,1116,606,371,586,6.2,6.7,6.2,6.2,6.0,17734,19,3796,11251,1890
Dark Shadows,2012,females,6.3,5854,3462,7995,14176,14570,8476,4039,1950,1074,1111,6.3,6.6,6.3,6.3,6.4,62707,28,20207,32112,5990
Scream 4,2011,females,6.2,2564,1397,2769,4070,4449,2712,1338,810,511,711,6.2,6.5,6.4,6.2,6.2,21331,28,5843,12641,1802
Devil,2010,females,6.3,1513,1238,3055,4956,4827,2706,1303,665,438,407,6.3,5.7,6.3,6.3,6.6,21108,10,5082,12233,2724
Land of the Dead,2005,females,6.1,635,378,855,1533,1697,958,458,266,185,302,6.1,7.0,5.9,6.0,6.3,7267,1,833,4838,1378
The Thing,2011,females,6.1,700,650,1499,2692,2886,1705,828,446,285,415,6.1,5.2,6.0,6.1,6.4,12106,4,2322,7222,2010
The Neon Demon,2016,females,5.8,647,716,1682,2547,2479,1840,1171,727,600,982,5.8,6.2,6.1,5.7,5.3,13391,15,4604,6391,1153
Wolf Creek,2005,females,6.2,760,571,1345,2008,2003,1145,583,327,269,437,6.2,5.3,5.9,6.2,6.6,9448,3,1532,5973,1585
Deliver Us from Evil,2014,females,6.3,911,743,1660,2788,2774,1542,764,399,225,209,6.3,6.7,6.3,6.2,6.6,12015,3,3076,6310,1575
"As Above, So Below",2014,females,6.5,1252,1049,2428,3427,3036,1653,790,434,256,258,6.5,7.3,6.6,6.4,6.2,14583,12,4667,7156,1499
Scary Stories to Tell in the Dark,2019,females,6.3,418,405,1214,2432,2408,1232,516,250,120,125,6.3,6.0,6.3,6.3,6.4,9120,14,2778,4311,1033
Krampus,2015,females,6.2,665,493,1291,2215,2267,1407,697,391,262,289,6.2,6.4,6.1,6.2,6.4,9977,5,2515,5238,1299
Before I Wake,2016,females,6.4,532,484,1223,2214,2307,1142,477,213,96,96,6.4,6.2,6.4,6.3,6.4,8784,8,2604,4357,988
Ouija: Origin of Evil,2016,females,6.1,416,374,1046,2100,2424,1440,649,329,201,198,6.1,6.0,6.0,6.1,6.3,9177,16,2688,4461,1076
Colossal,2016,females,6.2,350,380,1102,2057,1818,1205,576,352,209,276,6.2,6.0,6.2,6.1,6.3,8325,4,2015,4495,1099
Mama,2013,females,6.3,2782,2209,5154,8425,8329,4994,2384,1226,732,745,6.3,6.1,6.2,6.3,6.6,36980,18,11478,18278,3754
Color Out of Space,2019,females,6.0,179,168,417,765,703,456,269,169,125,180,6.0,6.5,6.0,6.0,5.8,3431,4,619,1926,554
It Comes at Night,2017,females,5.6,201,291,949,1839,2068,1563,948,631,513,1034,5.6,7.9,5.8,5.5,5.7,10037,7,2746,4995,1316
Verónica,2017,females,6.3,377,278,840,1597,1544,813,386,174,97,136,6.3,5.3,6.3,6.3,6.5,6242,10,2030,2970,600
Happy Death Day 2U,2019,females,6.3,525,360,1158,2149,2215,1124,479,177,129,122,6.3,6.2,6.3,6.3,6.5,8438,23,2825,3805,858
Synchronic,2019,females,6.2,139,109,324,707,726,349,177,72,40,71,6.2,10.0,6.2,6.2,6.3,2714,1,410,1371,643
Fear Street: Part One - 1994,2021,females,6.3,635,421,1080,1955,1909,925,429,204,151,231,6.3,6.2,6.3,6.3,6.3,7940,59,2203,3912,854
The Perfection,2018,females,6.3,439,414,1085,1844,1582,827,462,242,176,287,6.3,6.1,6.3,6.3,6.3,7358,9,2128,3613,888
Sleepaway Camp,1983,females,6.4,501,251,481,784,771,440,216,109,91,150,6.4,5.9,6.4,6.5,6.3,3794,12,681,2241,676
Predator 2,1990,females,6.1,586,287,657,1359,1666,1014,485,237,167,178,6.1,5.7,5.9,6.1,6.1,6636,3,811,3719,1702
The Hills Have Eyes,1977,females,6.2,216,143,386,758,804,391,176,105,63,118,6.2,5.7,6.2,6.2,6.4,3160,3,543,1793,708
Hellbound: Hellraiser II,1988,females,6.5,579,322,580,978,909,515,236,92,53,104,6.5,8.7,6.5,6.5,6.7,4368,6,598,2611,942
New Nightmare,1994,females,6.5,672,347,792,1260,1151,688,278,144,77,108,6.5,6.7,6.3,6.6,6.5,5517,22,811,3435,1014
Paranormal Activity,2007,females,6.1,3161,2499,4740,6937,6168,3993,2428,1594,1353,2369,6.1,4.8,5.8,6.2,6.1,35242,26,9867,20364,3433
Goosebumps,2015,females,6.5,959,652,1783,3269,3134,1544,561,229,121,141,6.5,5.7,6.5,6.4,6.6,12393,15,3549,6320,1259
Dracula Untold,2014,females,6.6,4003,2365,4715,6674,5609,2897,1261,646,378,869,6.6,7.6,6.7,6.5,6.9,29417,7,8215,15131,3390
The Uninvited,2009,females,6.6,2086,1357,3055,4445,3865,1992,787,364,227,272,6.6,8.0,6.8,6.5,6.4,18450,4,5680,10096,1794
#Alive,2020,females,6.4,174,148,512,1143,1008,422,153,72,44,72,6.4,7.8,6.4,6.4,6.5,3748,11,1200,1696,392
I Spit on Your Grave,2010,females,6.4,1407,844,1770,2683,2437,1382,674,352,271,440,6.4,4.3,6.3,6.3,6.6,12260,6,3612,6678,1238
Underworld: Awakening,2012,females,6.7,3489,1777,3406,5006,4144,2232,906,515,301,335,6.7,4.8,6.9,6.6,6.8,22111,4,4899,12967,2946
Scouts Guide to the Zombie Apocalypse,2015,females,6.5,387,293,733,1208,1096,498,215,99,52,95,6.5,8.0,6.5,6.5,6.6,4676,3,1193,2451,627
The Visit,2015,females,6.4,1281,1222,3115,4831,4369,2231,1130,649,467,634,6.4,5.8,6.5,6.3,6.2,19929,22,5541,10045,2596
The Shallows,2016,females,6.4,1205,981,2651,5445,4975,2357,945,490,314,324,6.4,6.4,6.5,6.3,6.5,19687,11,6216,9339,1949
13 Sins,2014,females,6.4,334,286,745,1408,1296,647,281,107,74,90,6.4,10.0,6.6,6.3,6.4,5268,1,1310,2866,740
Dark Skies,2013,females,6.5,1283,903,2107,3301,3063,1593,631,326,176,167,6.5,8.5,6.5,6.4,6.5,13550,2,2920,7610,1982
Cargo,2017,females,6.6,397,338,947,1547,1177,470,222,100,54,80,6.6,5.1,6.6,6.6,6.9,5332,5,1226,2647,898
Malignant,2021,females,6.0,395,286,823,1276,1136,759,495,356,260,384,6.0,6.5,6.1,6.0,5.8,6170,10,1544,3045,868
Apostle,2018,females,6.0,211,223,694,1268,1311,832,463,261,181,218,6.0,5.9,6.1,6.0,6.0,5662,5,1553,2718,823
Haunt,2019,females,6.3,165,142,415,772,870,422,184,95,43,42,6.3,6.9,6.3,6.2,6.3,3150,6,790,1624,407
The Blob,1958,females,6.5,233,105,281,511,564,267,103,42,35,31,6.5,7.0,6.3,6.4,6.7,2172,2,243,1021,820
Friday the 13th,1980,females,6.5,1436,934,2030,3533,3280,1709,801,484,274,305,6.5,6.6,6.3,6.5,6.7,14786,39,3100,8069,2778
Arachnophobia,1990,females,6.4,491,381,1042,1814,1772,948,402,208,117,175,6.4,7.0,6.3,6.3,6.6,7350,1,640,4468,1891
Gremlins 2: The New Batch,1990,females,6.4,774,505,1125,2144,2419,1427,722,360,164,180,6.4,5.8,6.4,6.4,6.0,9820,4,1240,6224,1850
The Conjuring: The Devil Made Me Do It,2021,females,6.5,866,529,1379,2510,2372,1135,465,204,96,114,6.5,6.4,6.5,6.4,6.7,9670,51,2914,4367,1224
The People Under the Stairs,1991,females,6.6,535,334,713,1063,949,476,244,86,89,105,6.6,6.5,6.7,6.6,6.4,4594,2,524,2918,962
The Craft,1996,females,6.8,3209,2010,4459,6095,4912,2294,1068,525,221,230,6.8,6.1,6.8,6.9,6.7,25023,18,4515,15879,3210
Session 9,2001,females,6.3,919,819,1440,1937,1687,1062,690,393,284,328,6.3,7.0,6.0,6.2,6.8,9559,1,1542,5918,1748
Daybreakers,2009,females,6.6,1298,1145,2723,4590,3479,1684,737,356,212,243,6.6,6.5,6.7,6.6,6.7,16467,2,2989,10670,2223
Mindhunters,2004,females,6.7,736,539,1295,1798,1457,618,342,156,85,82,6.7,7.3,7.0,6.7,6.5,7108,3,940,4647,1254
The Hills Have Eyes,2006,females,6.1,2014,1338,2913,4811,4589,2685,1463,883,616,1211,6.1,6.3,6.1,6.1,6.2,22523,9,5241,14006,2302
Them,2006,females,6.4,313,330,734,1140,929,504,239,140,89,109,6.4,6.0,6.1,6.5,6.5,4527,1,736,2943,722
The Collector,2009,females,6.6,1043,684,1417,2046,1703,893,416,270,190,251,6.6,7.4,6.6,6.5,6.7,8913,6,2300,4994,1097
Freaky,2020,females,6.5,312,257,838,1511,1332,649,209,101,79,100,6.5,6.4,6.5,6.4,6.5,5388,25,1423,2657,758
Black Death,2010,females,6.2,315,251,646,1301,1359,733,354,165,123,130,6.2,6.5,6.2,6.1,6.4,5377,2,820,3246,1096
The House of the Devil,2009,females,6.0,364,345,809,1243,1161,755,508,261,191,302,6.0,6.0,5.9,6.1,6.1,5939,1,1054,3714,903
Fright Night,2011,females,6.4,1840,1218,2829,4706,4077,2267,1046,526,384,498,6.4,7.0,6.5,6.3,6.5,19391,4,4781,11313,2507
Under the Skin,2013,females,6.0,1036,1228,2298,2835,2511,1676,1059,770,615,1287,6.0,8.0,6.4,5.9,5.8,15315,7,3909,8234,2191
The Woman in Black,2012,females,6.4,3655,2767,6168,9737,8638,4722,2228,1070,630,695,6.4,6.3,6.5,6.4,6.6,40310,11,12687,20846,4286
The Voices,2014,females,6.4,635,590,1476,2312,1850,1056,552,303,218,299,6.4,2.0,6.6,6.3,6.2,9291,1,2334,5164,1119
Alien: Covenant,2017,females,6.4,1091,1076,2881,5446,4811,2473,1180,720,427,671,6.4,6.4,6.4,6.3,6.4,20776,15,4604,10970,3074
Creep,2014,females,6.4,416,486,1098,1841,1514,787,352,199,162,231,6.4,5.4,6.5,6.4,6.2,7086,11,2093,3497,873
The Purge: Anarchy,2014,females,6.6,1511,1302,3128,5095,3998,1899,783,346,187,298,6.6,6.5,6.7,6.5,6.5,18547,20,6607,8611,1529
Tale of Tales,2015,females,6.5,462,459,993,1431,1118,612,292,171,138,228,6.5,7.0,6.7,6.5,6.5,5904,1,1392,3226,831
Ghost Stories,2017,females,6.5,187,241,682,1153,936,447,226,108,59,70,6.5,5.3,6.7,6.4,6.3,4109,3,928,2160,666
A Cure for Wellness,2016,females,6.3,795,772,2101,3628,3161,1783,935,438,306,385,6.3,7.1,6.5,6.3,6.2,14304,8,4702,6646,1520
The Babysitter,2017,females,6.3,650,511,1378,2489,2171,1109,594,299,197,310,6.3,5.6,6.2,6.4,6.6,9708,31,3344,4441,853
Escape Room,2019,females,6.6,873,807,2251,4136,3366,1430,523,207,108,133,6.6,6.7,6.7,6.5,6.5,13834,40,4650,6223,1346
Incident in a Ghostland,2018,females,6.5,436,322,819,1032,830,394,210,105,81,130,6.5,5.7,6.7,6.5,6.5,4359,3,1128,2160,595
Unsane,2018,females,6.3,197,241,823,1760,1583,773,362,194,112,195,6.3,5.4,6.3,6.3,6.3,6240,6,1548,3157,964
Revenge,2017,females,6.4,246,221,600,888,719,420,213,123,78,157,6.4,5.2,6.5,6.4,6.3,3665,4,901,1858,545
Halloween II,1981,females,6.6,1012,536,1154,2029,1896,877,399,169,111,140,6.6,6.8,6.5,6.5,6.7,8323,24,1582,4567,1654
The Skeleton Key,2005,females,6.7,2198,1979,4436,6544,4826,2336,964,487,246,245,6.7,6.2,6.7,6.7,6.8,24261,4,4390,15357,3370
Bad Taste,1987,females,6.1,267,199,405,577,482,280,155,99,84,180,6.1,4.0,5.8,6.2,6.1,2728,1,303,1754,580
Psycho II,1983,females,6.4,226,159,296,614,558,331,139,58,45,57,6.4,9.0,6.7,6.4,6.3,2483,1,392,1314,678
Slither,2006,females,6.2,827,609,1275,1906,1703,1001,561,347,245,384,6.2,6.0,5.7,6.2,6.6,8858,5,1346,5578,1592
Resident Evil: Degeneration,2008,females,6.6,278,137,276,448,400,185,86,37,29,63,6.6,7.0,6.7,6.6,6.3,1939,1,408,1210,239
The Last House on the Left,2009,females,6.7,1596,1260,2906,4106,3035,1428,652,368,231,376,6.7,5.8,6.7,6.7,6.7,15958,10,3873,9448,1838
Tideland,2005,females,6.7,795,685,1057,1182,788,443,252,187,130,229,6.7,8.0,6.8,6.7,6.6,5748,3,819,3929,839
The Crazies,2010,females,6.5,1112,1029,2409,3890,3294,1786,773,410,244,264,6.5,7.4,6.4,6.4,6.8,15211,7,3140,9168,2183
[Rec]²,2009,females,6.3,604,448,1072,2041,1864,992,494,246,207,264,6.3,6.7,6.3,6.3,6.3,8232,3,2104,4981,787
Drag Me to Hell,2009,females,6.1,2319,1908,3942,5528,4713,3389,2139,1465,1145,1797,6.1,6.6,5.8,6.1,6.5,28345,8,7019,17085,2993
Host,2020,females,6.6,213,231,546,853,634,270,131,88,47,78,6.6,5.3,6.5,6.6,6.5,3091,10,775,1585,422
Byzantium,2012,females,6.7,766,698,1783,2385,1733,897,362,197,107,141,6.7,5.7,6.9,6.6,6.9,9069,3,2084,5061,1403
Evil Dead,2013,females,6.3,2234,1704,3085,4173,3604,2292,1269,818,591,957,6.3,7.1,6.3,6.3,6.1,20727,17,5701,11160,2070
Gerald's Game,2017,females,6.5,848,993,2694,4439,3411,1669,751,401,281,361,6.5,4.7,6.6,6.5,6.4,15848,15,5033,7547,1620
Time Lapse,2014,females,6.5,317,327,821,1487,1210,595,243,120,66,101,6.5,7.8,6.7,6.4,6.4,5287,4,1213,2912,795
The Awakening,2011,females,6.7,1014,1078,2605,4324,3190,1370,562,231,109,119,6.7,6.0,6.8,6.6,6.9,14602,1,3147,8577,2057
Oculus,2013,females,6.5,1555,1485,3495,5710,4658,2583,1219,637,406,451,6.5,5.4,6.5,6.4,6.5,22199,11,7040,11067,2215
The Endless,2017,females,6.5,217,247,724,1243,796,424,205,106,68,102,6.5,6.5,6.4,6.5,6.5,4132,2,733,2337,728
Crimson Peak,2015,females,6.8,2777,2552,6004,9099,6627,3018,1092,564,320,347,6.8,7.0,6.9,6.7,6.8,32400,20,9623,16703,3403
Possessor,2020,females,6.3,93,111,366,614,478,310,131,75,50,112,6.3,4.6,6.5,6.2,6.0,2340,5,501,1248,393
His House,2020,females,6.5,265,309,910,1228,1068,552,247,117,64,88,6.5,3.1,6.6,6.5,6.5,4848,5,1363,2398,600
The Hunt,2020,females,6.6,701,726,1622,2537,1851,891,360,225,171,297,6.6,5.1,6.4,6.6,6.7,9381,18,2171,4764,1464
The Night House,2020,females,6.5,128,149,410,838,631,312,135,63,38,55,6.5,5.8,6.6,6.5,6.3,2759,4,650,1424,415
