Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
Pontypool,2008,males,6.6,1345,1633,4092,6015,4113,2090,1086,634,385,537,6.6,7.0,6.6,6.6,6.6,21930,1,2232,13977,5018
You're Next,2011,males,6.5,3092,3382,9803,17916,13355,6337,2840,1523,889,1111,6.5,6.9,6.6,6.5,6.5,60248,27,13166,34330,8907
The Final Girls,2015,males,6.5,1501,1227,3836,7686,6417,2969,1204,553,312,374,6.5,7.2,6.6,6.5,6.4,26079,22,4504,15446,4546
Insidious: Chapter 2,2013,males,6.5,6805,5548,15073,27945,21651,9791,4338,1895,1105,1258,6.5,6.8,6.7,6.5,6.2,95409,64,27515,49924,9734
Bird Box,2018,males,6.5,5706,7148,24596,48993,36610,15867,6815,3718,2148,3125,6.5,6.3,6.5,6.5,6.5,154726,180,37154,78936,21284
Overlord,2018,males,6.6,2380,2706,10184,20450,14820,5838,2246,1102,613,915,6.6,7.4,6.7,6.5,6.5,61254,28,11775,32463,11338
The Exorcist III,1990,males,6.4,1625,1435,3218,4468,4178,2592,1357,825,387,381,6.4,7.0,6.7,6.4,6.4,20466,4,1814,11022,6883
Hellbound: Hellraiser II,1988,males,6.5,2752,1983,4470,7640,7094,3638,1687,839,479,517,6.5,6.6,6.4,6.5,6.4,31099,19,3178,18696,7900
New Nightmare,1994,males,6.4,2822,2095,5232,9547,8526,4368,1989,996,550,792,6.4,6.4,6.6,6.4,6.2,36917,44,5028,23628,6647
Alien 3,1992,males,6.5,9064,8849,26104,55520,50386,22055,9827,5746,4096,5368,6.5,5.7,6.2,6.5,6.5,197015,72,22744,121002,42936
The Blair Witch Project,1999,males,6.5,13577,13420,26635,33522,24371,13874,8000,5659,4451,9001,6.5,6.9,6.7,6.6,6.2,152510,91,21923,93455,31058
Lights Out,2016,males,6.3,2701,2363,8276,19170,18937,8927,3592,1597,797,785,6.3,6.2,6.4,6.3,6.3,67145,77,18346,34537,8067
The Bar,2017,males,6.3,374,465,1880,4423,4128,1847,770,362,189,224,6.3,5.8,6.4,6.3,6.4,14662,9,2383,8190,2799
The Faculty,1998,males,6.5,4343,3404,11231,22372,19560,8769,3652,1601,758,862,6.5,7.6,6.7,6.5,6.3,76552,17,5876,53529,14393
1922,2017,males,6.3,791,760,3674,10174,10433,4708,1763,748,349,407,6.3,6.9,6.4,6.2,6.2,33807,21,7145,17908,5861
The Ritual,2017,males,6.3,1284,1638,6430,15017,14463,6489,2499,1087,539,672,6.3,6.8,6.4,6.4,6.3,50118,26,11404,27096,7205
Apostle,2018,males,6.3,812,1051,3868,8169,7924,3932,1707,859,490,627,6.3,7.2,6.5,6.3,6.1,29439,20,6275,15836,4803
Hotel Transylvania 3: Summer Vacation,2018,males,6.2,1565,908,3104,7971,9771,4668,1759,786,403,525,6.2,5.8,6.2,6.1,6.1,31460,118,7701,15938,4352
Haunt,2019,males,6.3,576,482,1642,4060,4135,1996,784,418,205,226,6.3,5.6,6.4,6.2,6.2,14524,16,2888,8036,2363
The Conjuring: The Devil Made Me Do It,2021,males,6.2,2065,1393,4894,12218,13403,6376,2401,1089,518,572,6.2,6.5,6.2,6.2,6.2,44929,152,12146,22198,5789
Resident Evil: Extinction,2007,males,6.2,10153,5653,15581,33268,34919,17878,8243,4274,2295,3248,6.2,5.7,6.3,6.1,6.3,135512,22,22053,89736,18145
Vacancy,2007,males,6.2,3258,2326,7485,17349,18783,9186,3868,1858,1030,1090,6.2,6.6,6.3,6.2,6.2,66233,15,8319,44349,11420
Dead Silence,2007,males,6.1,4146,2727,7001,12887,13422,7585,3805,2071,1112,1384,6.1,6.1,6.4,6.1,5.9,56140,29,12466,34442,6771
Rogue,2007,males,6.2,1084,709,2468,5693,5762,2750,1160,583,300,521,6.2,6.3,6.1,6.2,6.3,21030,3,2370,13202,4817
The Strangers,2008,males,6.1,5151,4068,10387,17780,17366,10265,5622,3343,2129,3165,6.1,5.4,6.2,6.1,6.0,79276,46,13480,51048,11546
Saw VI,2009,males,6.0,5868,3061,7358,14422,20062,11171,4935,2630,1524,2606,6.0,6.6,6.1,6.0,5.8,73637,46,18210,44982,6943
The Taking of Deborah Logan,2014,males,6.0,617,495,1787,3767,4690,2763,1240,625,338,387,6.0,3.4,6.1,6.0,5.9,16709,5,3333,9569,2757
The Purge: Election Year,2016,males,6.0,1952,1383,4855,13364,18207,9600,3938,1927,1040,1472,6.0,6.3,6.1,5.9,5.9,57738,43,15134,30045,7161
Victor Frankenstein,2015,males,5.9,1011,679,2564,6889,10257,5865,2488,1080,510,519,5.9,5.5,6.1,5.8,5.9,31862,12,6262,17526,5768
Saw III,2006,males,6.2,10639,6204,14915,28785,32083,16577,7869,4301,2316,3905,6.2,6.5,6.3,6.1,6.0,127594,70,25011,84722,12662
Circle,2015,males,6.0,760,929,3093,6880,7859,4470,2078,1112,639,771,6.0,5.8,6.1,6.0,6.0,28591,41,7742,15335,3347
Captive State,2019,males,6.0,3978,3953,2657,5586,6099,3764,1838,956,588,768,6.0,6.5,5.8,6.0,6.0,30187,2,5514,16945,5918
Case 39,2009,males,6.1,2090,1832,5461,12631,13766,6927,2962,1555,795,825,6.1,5.6,6.2,6.1,6.2,48844,7,7806,30090,8853
Cujo,1983,males,6.1,1181,709,2584,5972,8068,4719,2118,1085,492,477,6.1,6.1,6.0,6.0,6.1,27405,16,2733,14903,8577
Friday the 13th Part 2,1981,males,6.1,3008,1751,4418,8557,11886,6807,2867,1403,741,709,6.1,6.2,6.1,6.1,6.0,42147,54,6499,24368,9121
Unfriended: Dark Web,2018,males,6.0,728,598,1895,3679,4147,2430,1092,658,415,682,6.0,5.9,6.0,6.0,5.7,16324,44,4597,8037,2073
Pride and Prejudice and Zombies,2016,males,5.7,879,622,2043,5319,7271,5021,2618,1322,704,908,5.7,6.2,5.6,5.6,5.9,26707,4,4338,14422,5966
