Name,Year,Rate,Genre,Country
1922,2017,6.3,"Crime,Drama,Horror,Mystery,Thriller",United States
The Ritual,2017,6.3,"Horror,Mystery,Thriller",United Kingdom
Silver Bullet,1985,6.4,Horror,United States
The Conjuring: The Devil Made Me Do It,2021,6.3,"Horror,Mystery,Thriller",United States
Apostle,2018,6.3,"Drama,Fantasy,Horror,Mystery,Thriller",United Kingdom
Haunt,2019,6.3,"Horror,Thriller",United States
Arachnophobia,1990,6.4,"Comedy,Horror,Thriller",United States
The Blob,1958,6.4,"Horror,Sci-Fi",United States
Friday the 13th,1980,6.4,"Horror,Mystery,Thriller",United States
Vacancy,2007,6.2,"Horror,Thriller",United States
Gremlins 2: The New Batch,1990,6.4,"Comedy,Fantasy,Horror",United States
Dead Silence,2007,6.2,"Horror,Mystery,Thriller",United States
The Faculty,1998,6.5,"Horror,Mystery,Sci-Fi",United States
Resident Evil: Extinction,2007,6.2,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany
The Strangers,2008,6.2,"Horror,Mystery,Thriller",United States
Saw III,2006,6.2,"Crime,Horror,Mystery,Thriller",Canada
Rogue,2007,6.2,"Action,Drama,Horror,Thriller",Australia
Dark Shadows,2012,6.2,"Comedy,Fantasy,Horror",United States
Frontier(s),2007,6.2,Horror,France
Scream 4,2011,6.2,"Horror,Mystery",United States
The Thing,2011,6.2,"Horror,Mystery,Sci-Fi",Canada
The Neon Demon,2016,6.2,"Horror,Thriller",United States
Red State,2011,6.2,"Action,Crime,Horror,Thriller",United States
Devil,2010,6.2,"Horror,Mystery,Thriller",United States
Saw VI,2009,6.0,"Horror,Mystery,Thriller",Canada
Severance,2006,6.5,"Comedy,Horror",United Kingdom
The Taking of Deborah Logan,2014,6.0,"Horror,Mystery,Thriller",United States
Victor Frankenstein,2015,6.0,"Drama,Horror,Sci-Fi,Thriller",United Kingdom
The Boy,2016,6.0,"Horror,Mystery,Thriller",United States
Circle,2015,6.0,"Drama,Horror,Mystery,Sci-Fi,Thriller",United States
V/H/S/2,2013,6.0,"Horror,Thriller",United States
Case 39,2009,6.2,"Horror,Mystery,Thriller",United States
Unfriended: Dark Web,2018,6.0,"Horror,Mystery,Thriller",United States
Captive State,2019,6.0,"Action,Horror,Sci-Fi,Thriller",United States
Cujo,1983,6.1,"Horror,Thriller",United States
Friday the 13th Part 2,1981,6.1,"Horror,Mystery,Thriller",United States
Critters,1986,6.1,"Comedy,Horror,Sci-Fi",United States
Firestarter,1984,6.1,"Action,Horror,Sci-Fi,Thriller",United States
The Purge: Election Year,2016,6.0,"Action,Horror,Sci-Fi,Thriller",United States
Saw V,2008,5.8,"Crime,Horror,Mystery,Thriller",United States
Deep Rising,1998,6.1,"Action,Adventure,Horror,Sci-Fi",United States
Pride and Prejudice and Zombies,2016,5.8,"Action,Comedy,Fantasy,Horror,Romance",United States
Rubber,2010,5.8,"Comedy,Fantasy,Horror",France
Final Destination 5,2011,5.8,"Action,Horror,Thriller",United States
V/H/S,2012,5.8,"Horror,Thriller",United States
The Divide,2011,5.8,"Drama,Horror,Sci-Fi,Thriller",United States
The Addams Family,2019,5.8,"Animation,Comedy,Family,Fantasy,Horror",Canada
Resident Evil: Afterlife,2010,5.8,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany
Underworld: Blood Wars,2016,5.8,"Action,Adventure,Fantasy,Horror",United States
Paranormal Activity 3,2011,5.8,"Horror,Mystery",United States
High Life,2018,5.8,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller",France
The Purge,2013,5.8,"Horror,Sci-Fi,Thriller",United States
