Name,Year,Rating,User_Type,vote10,vote9,vote8,vote7,vote6,vote5,vote4,vote3,vote2,vote1
Mother!,2017,6.6,IMDb Users,20946,22946,40057,40285,26792,16645,9933,7483,6417,18034
Apostle,2018,6.3,IMDb Users,1598,1893,6530,13220,12661,6550,2985,1557,984,1283
Vacancy,2007,6.2,IMDb Users,5277,3756,11447,25101,27282,13680,5747,2787,1514,1704
Land of the Dead,2005,6.2,IMDb Users,6354,3915,11324,23292,23942,12998,6046,3012,1795,2389
Rogue,2007,6.2,IMDb Users,1710,1057,3544,7784,7914,3872,1640,798,434,751
The Strangers,2008,6.2,IMDb Users,9038,7080,17046,27947,26985,16073,8768,5173,3407,4812
Dead Silence,2007,6.2,IMDb Users,7558,4827,11809,20799,20987,12032,6087,3314,1878,2206
Saw III,2006,6.2,IMDb Users,16386,9373,22317,42079,47041,24000,11304,6196,3331,5591
The Shallows,2016,6.3,IMDb Users,5767,4748,15673,36755,34897,16063,6624,3360,1856,2038
Case 39,2009,6.2,IMDb Users,4151,3464,10068,21171,22715,11615,4926,2523,1358,1313
Saw VI,2009,6.0,IMDb Users,9180,4607,11094,21106,29236,16151,7101,3879,2215,3686
Victor Frankenstein,2015,6.0,IMDb Users,2402,1616,5140,12235,16977,9539,3992,1746,888,869
The Taking of Deborah Logan,2014,6.0,IMDb Users,1371,1085,3543,6773,7996,4586,2089,1067,570,693
The Rite,2011,6.0,IMDb Users,5232,3759,10299,20824,25984,15581,6989,3267,1616,1702
The Babysitter: Killer Queen,2020,5.8,IMDb Users,2265,1191,3156,6555,8925,5702,2963,1731,1046,1182
Resident Evil: Afterlife,2010,5.8,IMDb Users,14393,6643,15388,30135,40537,27792,14041,7907,4815,5861
The Addams Family,2019,5.8,IMDb Users,2164,1082,3114,6750,9578,6819,2925,1374,869,1107
Saw V,2008,5.8,IMDb Users,9778,4203,10366,20688,30987,22009,9904,5469,3071,4814
Pride and Prejudice and Zombies,2016,5.8,IMDb Users,3550,2139,5334,10908,13435,9022,4706,2409,1338,1764
The Purge: Election Year,2016,6.0,IMDb Users,4456,3017,9359,22580,28875,15225,6260,3071,1713,2530
Circle,2015,6.0,IMDb Users,1625,1840,5713,12110,13641,7960,3855,2063,1336,1605
Rubber,2010,5.8,IMDb Users,2758,1819,4303,6764,6752,4424,2738,1935,1670,2922
The Divide,2011,5.8,IMDb Users,2324,1745,4024,6738,7629,5452,3220,1897,1315,2081
Maggie,2015,5.6,IMDb Users,1993,1075,3302,7410,10757,9024,4611,2435,1420,1609
Ma,2019,5.6,IMDb Users,1493,950,3155,8759,14377,10999,5094,2547,1394,1671
Friday the 13th Part III,1982,5.7,IMDb Users,3872,1834,4321,8096,12206,10416,5263,2931,1348,1288
Curse of Chucky,2013,5.6,IMDb Users,3483,1158,2992,5859,8460,6835,3716,2271,1374,1646
Poltergeist II: The Other Side,1986,5.7,IMDb Users,1415,633,1971,4369,7144,5712,2805,1291,685,544
My Bloody Valentine,2009,5.4,IMDb Users,4000,1794,4114,8221,12077,10928,6085,3728,2286,2506
I Spit on Your Grave,1978,5.7,IMDb Users,2018,1070,2634,4730,6046,4346,2390,1427,1132,1862
A Nightmare on Elm Street 4: The Dream Master,1988,5.7,IMDb Users,3665,1427,3886,8452,13671,12314,5776,2527,1193,983
Resident Evil: Retribution,2012,5.4,IMDb Users,12390,4314,9632,18606,27720,27081,15452,9489,6111,7484
Maximum Overdrive,1986,5.5,IMDb Users,2411,1005,2373,4589,6541,5963,3717,2320,1444,1414
Piranha 3D,2010,5.4,IMDb Users,4703,2468,7013,14169,18595,15590,9719,6340,4329,5798
Countdown,2019,5.4,IMDb Users,1321,690,1991,5056,8005,6856,3649,2075,1210,1256
Teeth,2007,5.4,IMDb Users,2169,1288,3522,7022,9054,7384,4624,2966,2123,2942
Gretel & Hansel,2020,5.4,IMDb Users,1110,735,2133,4398,6076,5731,3340,1963,1240,1907
In the Tall Grass,2019,5.4,IMDb Users,1336,1002,3302,8530,13088,11107,6251,3469,2113,2324
Annabelle,2014,5.4,IMDb Users,7678,4027,10493,23136,37043,32076,17351,9481,5234,5599
The Mummy,2017,5.4,IMDb Users,6988,3775,11030,29092,46037,38426,20209,11549,6599,7336
The Haunted Mansion,2003,5.1,IMDb Users,2522,902,2505,5275,9443,11268,7525,4215,2172,1599
Turistas,2006,5.4,IMDb Users,1914,802,2379,5491,8733,8110,4307,2456,1526,2223
Hellraiser III: Hell on Earth,1992,5.5,IMDb Users,1797,755,2064,4331,6955,6772,3359,1862,892,861
A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.5,IMDb Users,3638,1516,4149,9422,15643,15163,8427,4457,2545,1789
An American Haunting,2005,5.1,IMDb Users,1816,892,1531,2779,4150,4891,3289,2335,1576,2186
The Grudge 2,2006,5.1,IMDb Users,3090,1115,2685,5233,8636,10586,7005,4133,2589,3662
The Human Centipede (First Sequence),2009,4.4,IMDb Users,3507,1553,4068,7464,10619,12055,10108,8035,6559,12754
The Island of Dr. Moreau,1996,4.6,IMDb Users,1364,546,1320,2736,4668,6421,5975,4205,2750,2860
Ouija,2014,4.5,IMDb Users,2209,749,1872,4024,7662,11099,9555,6217,3899,3925
Aliens vs. Predator: Requiem,2007,4.6,IMDb Users,6395,2279,5632,11447,18852,24052,18810,12916,9277,11154
Black Christmas,2006,4.6,IMDb Users,2411,549,1302,2357,3653,4454,3936,2870,2145,2898
Psycho,1998,4.6,IMDb Users,1583,918,2357,4706,7664,9365,6954,4478,3366,6097
Paranormal Activity 4,2012,4.6,IMDb Users,3587,1108,2771,5683,9752,13027,11031,6978,4690,6302
Friday the 13th: A New Beginning,1985,4.8,IMDb Users,2261,666,1657,3491,5719,8244,6482,3927,2392,2267
Anacondas: The Hunt for the Blood Orchid,2004,4.7,IMDb Users,1506,448,1266,2855,4980,6588,5449,3510,2058,2191
I Still Know What You Did Last Summer,1998,4.7,IMDb Users,3261,1195,2851,6069,11283,16419,13648,8150,4962,4226
Paranormal Activity: The Ghost Dimension,2015,4.6,IMDb Users,1054,432,1185,2427,4300,5587,4554,2941,2024,2453
Leprechaun,1993,4.8,IMDb Users,1921,474,1241,2431,3989,5025,4253,2904,1832,1912
Halloween: The Curse of Michael Myers,1995,4.8,IMDb Users,2454,668,1660,3157,5714,7693,5802,3584,2206,2187
Anaconda,1997,4.8,IMDb Users,3644,1335,4037,10116,18035,22054,17613,11432,7224,6004
Manos: The Hands of Fate,1966,1.8,IMDb Users,6385,245,221,252,290,392,495,1051,2869,23669
Laxmii,2020,2.4,IMDb Users,8829,1485,592,594,654,923,894,1149,2270,38574
House of the Dead,2003,2.1,IMDb Users,1470,182,399,603,926,1492,2004,3327,6047,20473
Troll 2,1990,3.0,IMDb Users,3680,548,988,901,1012,1186,1398,2606,4262,15622
The Open House,2018,3.2,IMDb Users,600,204,514,1120,2009,3243,4400,4780,5136,11267
Jaws: The Revenge,1987,3.0,IMDb Users,1424,267,603,1216,2401,3980,5681,8260,8809,12083
Slender Man,2018,3.2,IMDb Users,1021,191,461,966,1991,3677,4967,5747,5600,7580
Alone in the Dark,2005,2.4,IMDb Users,1527,2601,567,841,1355,2477,3460,5271,7633,19481
Vampires Suck,2010,3.4,IMDb Users,3989,1103,1584,2402,3564,5034,5763,6364,6533,11913
The Wicker Man,2006,3.7,IMDb Users,2371,641,1695,3668,6123,8854,10193,10177,9062,13793
I Know Who Killed Me,2007,3.6,IMDb Users,1946,3325,824,1436,2024,2809,3084,3181,3318,7285
Jaws 3-D,1983,3.7,IMDb Users,1410,382,813,1785,3384,6031,8065,8747,6173,5854
Piranha 3DD,2012,3.7,IMDb Users,2049,424,1108,2083,3624,5887,6871,6730,5784,7087
Human Centipede 2: Tom Six Discusses the Story Concept,2011,3.8,IMDb Users,2312,897,1900,2801,3458,4121,4399,4223,4426,9183
Halloween: Resurrection,2002,4.0,IMDb Users,2285,523,1252,2528,4344,6825,8001,6129,4749,5237
The Fog,2005,3.7,IMDb Users,1512,336,834,1612,2938,5207,6177,6266,4774,6757
Rings,2017,4.5,IMDb Users,1461,487,1316,3139,6143,8873,7025,4841,3289,3130
BloodRayne,2005,2.9,IMDb Users,1913,318,666,1112,1842,2786,3424,4854,5622,12596
Plan 9 from Outer Space,1957,4.0,IMDb Users,4587,1005,1538,2059,2650,3724,4115,4306,4881,8957
Friday the 13th Part VIII: Jason Takes Manhattan,1989,4.6,IMDb Users,2411,736,1628,3129,4791,6855,6498,4579,3258,2802
Shark Night,2011,4.0,IMDb Users,1345,311,712,1497,2804,4357,4737,3898,2972,3035
Species II,1998,4.4,IMDb Users,911,281,850,1859,3720,6268,6174,4094,2502,2124
Book of Shadows: Blair Witch 2,2000,4.0,IMDb Users,1521,713,1746,2887,4176,5246,5594,5169,4598,5708
Prom Night,2008,3.9,IMDb Users,2339,553,1211,2105,3455,5177,5788,5053,4104,5632
One Missed Call,2008,4.0,IMDb Users,1629,450,1031,2016,3305,4910,5203,4410,3534,5416
Jason Goes to Hell: The Final Friday,1993,4.2,IMDb Users,1786,543,1184,2336,3548,5202,5724,4100,3314,3486
Cell,2016,4.4,IMDb Users,757,271,789,1758,3952,5740,5233,3627,2331,2757
Boogeyman,2005,4.2,IMDb Users,1276,404,1145,2041,3531,5404,5506,4538,3228,3731
Death Note,2017,4.4,IMDb Users,3004,1376,3653,7407,11424,11855,9815,8609,7272,17406
Jason X,2001,4.4,IMDb Users,3337,1015,2541,4911,7243,8952,8665,6627,5104,6119
The Devil Inside,2012,4.2,IMDb Users,1892,643,1547,2584,4169,5726,5362,4360,3707,5702
Seed of Chucky,2004,4.8,IMDb Users,3533,873,2172,4112,6783,8737,6858,4518,2754,3200
Pulse,2006,4.8,IMDb Users,1741,646,1492,2664,4390,5490,4456,3205,2255,2617
The Forest,2016,4.8,IMDb Users,1337,565,1636,3955,7985,10177,7458,4382,2303,1956
Halloween II,2009,4.8,IMDb Users,3862,1582,3371,5384,7758,8920,6867,4872,3797,6151
Godsend,2004,4.8,IMDb Users,615,278,853,2074,4835,6798,4781,2572,1361,1285
The Unborn,2009,4.8,IMDb Users,2331,883,2162,4746,8614,11473,8681,5350,3318,3225
